Designator,Footprint,Quantity,Value,LCSC Part #
C10,0603,1,22uF,
"C11, C12, C6, C9",0603,4,0.1uF,
C3,0603,1,2.2uF,
"C4, C5, C7, C8",0603,4,1uF,
ESD1,SOT-23-6,1,USBLC6-2SC6,
J2,USB-C_16,1,USB_C_Receptacle_USB2.0_16P,
"R1, R2",0603,2,5.1k,
R3,0603,1,4.7k,
R4,0603,1,10k,
"SW1, SW2",XUNPU QS-302-AGS8P,2,~,
U1,ESP32-WROOM-32E,1,ESP32-WROOM-32E,
"U3, U5",TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm,2,MAX98357A,
U4,WQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm_ThermalVias,1,TPA6132A2RTE,
U6,TO-252-2,1,NCP1117-3.3_TO252,
U7,MSOP-10_3x3mm_P0.5mm,1,CH340X,
